label,trial,throughput_ct_s,kernel_ct_s,wall_ms,kernel_ms,syndrome_ms,bm_ms,chien_ms
baseline,1,73693.54,285277.403747404,678.486,175.268,17.523,30.791,126.954
baseline,2,72069.53,285843.3235574917,693.774,174.921,17.211,30.776,126.934
baseline,3,62768.02,284173.25474995596,796.584,175.949,18.212,30.791,126.946
baseline,4,72012.9,284981.47620404675,694.32,175.45,17.736,30.777,126.937
baseline,5,73039.59,285427.22747408325,684.56,175.176,17.404,30.812,126.96
experiment,1,72421.47,299087.7822640945,690.403,167.175,18.8,21.427,126.948
experiment,2,70989.89,300782.6364199647,704.326,166.233,17.876,21.414,126.943
experiment,3,71744.8,299096.72788179695,696.915,167.17000000000002,18.814,21.416,126.94
experiment,4,73613.29,299833.8920238188,679.225,166.75900000000001,18.386,21.426,126.947
experiment,5,73376.39,298518.15587424027,681.418,167.494,19.126,21.421,126.947
