label,trial,throughput_ct_s,kernel_ct_s,wall_ms,kernel_ms,syndrome_ms,bm_ms,chien_ms
baseline,1,69553.66,282015.84929073014,718.869,177.29500000000002,19.578,30.783,126.934
baseline,2,72327.99,282254.65014536114,691.295,177.145,19.405,30.793,126.947
baseline,3,72056.65,281867.9955803098,693.898,177.388,19.647,30.786,126.955
baseline,4,69135.08,281942.6979660654,723.222,177.341,19.605,30.786,126.95
baseline,5,71205.83,281807.62684161286,702.19,177.426,19.677,30.796,126.953
packed_cwords,1,67534.02,284939.2509516971,740.368,175.476,17.704,30.813,126.959
packed_cwords,2,72544.68,285059.4634040661,689.23,175.402,17.661,30.791,126.95
packed_cwords,3,66198.4,282719.07901432825,755.305,176.85399999999998,19.123,30.788,126.943
packed_cwords,4,72936.72,286355.7225327591,685.526,174.608,16.887,30.78,126.941
packed_cwords,5,70754.94,283071.209393435,706.664,176.63400000000001,18.894,30.79,126.95
