label,trial,syndrome_ms,bm_ms,chien_ms,kernel_ms,kernel_ct_s
baseline,1,19.076615,29.311266,160.193296,208.581177,239714.82335628013
baseline,2,19.083271,29.31322,160.193497,208.589988,239704.69761952333
baseline,3,19.064487,29.312132,160.192343,208.568962,239728.86243735536
baseline,4,19.080391,29.313763,160.197273,208.591427,239703.04397984679
baseline,5,18.879621,29.311267,160.19868,208.389568,239935.23514574397
experiment,1,17.805304,29.313603,160.203703,207.32261,241170.02964606707
experiment,2,17.547061,29.312516,160.201529,207.061106,241474.6108812922
experiment,3,17.167857,29.311972,160.192474,206.672303,241928.88584591812
experiment,4,16.932623,29.312966,160.192451,206.43804,242203.4233613146
experiment,5,17.301779,29.313124,160.194012,206.80891499999998,241769.07460686596
