param,label,trial,syndrome_ms,bm_ms,chien_ms,kernel_ms,kernel_ct_s
348864,baseline,1,3.144087,7.584451,26.255591,36.984128999999996,1351931.2567831462
348864,baseline,2,3.148247,7.584995,26.250727,36.983969,1351937.1055064425
348864,baseline,3,3.156182,7.584003,26.250981,36.991166,1351674.072669134
348864,baseline,4,3.143286,7.584099,26.250374,36.977759,1352164.148184318
348864,baseline,5,3.139222,7.585283,26.250501,36.975006,1352264.8245141597
348864,experiment,1,3.140758,6.639954,26.250211,36.030923,1387696.8958025305
348864,experiment,2,3.14959,6.639858,26.251908,36.041356,1387295.1949976578
348864,experiment,3,3.158902,6.640562,26.251395,36.050859,1386929.5042317854
348864,experiment,4,3.153558,6.639634,26.251299,36.044491,1387174.5338282068
348864,experiment,5,3.14287,6.639922,26.251298,36.03409,1387574.9325152931
348864,mean,baseline,3.1462048,7.5845662,26.2516348,36.9824058,1351994.28153144
348864,mean,experiment,3.1491355999999997,6.639986,26.2512222,36.0403438,1387334.2122750948
6688128,baseline,1,17.053058,29.312628,130.808022,177.17370799999998,282208.9155576064
6688128,baseline,2,17.266342,29.312179,130.80584,177.38436099999998,281873.7780384146
6688128,baseline,3,16.986977,29.312658,130.797966,177.097601,282330.19373311556
6688128,baseline,4,18.680413,29.31125,130.80174,178.793403,279652.37621211336
6688128,baseline,5,17.865295,29.311986,130.798122,177.975403,280937.6978907585
6688128,experiment,1,17.944016,22.846818,130.803523,171.594357,291384.8734547838
6688128,experiment,2,18.136916,22.846979,130.80689,171.79078500000003,291051.6998918189
6688128,experiment,3,18.943073,22.845444,130.796237,172.58475399999998,289712.728622599
6688128,experiment,4,17.085665,22.84733,130.79725,170.730245,292859.6512000554
6688128,experiment,5,17.584713,22.846403,130.797635,171.22875100000002,292007.0356642384
6688128,mean,baseline,17.570417,29.3121402,130.802338,177.6848952,281400.59228640166
6688128,mean,experiment,17.9388766,22.8465948,130.800307,171.5857784,291403.1977666991
8192128,baseline,1,17.091359,29.312876,160.19392,206.598155,242015.71403190895
8192128,baseline,2,17.108318,29.312715,160.20585,206.626883,241982.06580892962
8192128,baseline,3,16.864026,29.31361,160.193879,206.37151500000002,242281.4989752825
8192128,baseline,4,17.633895,29.313899,160.194615,207.142409,241379.83255761018
8192128,baseline,5,17.164799,29.313129,160.194961,206.672889,241928.19988111744
8192128,experiment,1,17.710887,22.84675,160.193296,200.750933,249064.84494395848
8192128,experiment,2,16.899579,22.845822,160.194838,199.94023900000002,250074.72357777864
8192128,experiment,3,18.934267,22.845404,160.202475,201.982146,247546.63216619156
8192128,experiment,4,16.869689,22.846333,160.193773,199.909795,250112.80712883527
8192128,experiment,5,18.598741,22.847932,160.20407,201.650743,247953.46278491023
8192128,mean,baseline,17.1724794,29.3132458,160.196645,206.6823702,241917.46225096975
8192128,mean,experiment,17.8026326,22.8464482,160.1976904,200.8467712,248950.49412033483
