param,variant,trial,ciphertexts,throughput_ct_s,kernel_ct_s,wall_ms,syndrome_ms,bm_ms,chien_ms,kernel_ms
348864,baseline,1,50000,146661.28,1316101.1818588614,340.922,3.225,8.517,26.249,37.991
348864,baseline,2,50000,153787.0,1316343.7236731255,325.125,3.211,8.518,26.255,37.984
348864,baseline,3,50000,142746.42,1316343.7236731255,350.271,3.208,8.519,26.257,37.984
348864,baseline,4,50000,147491.36,1316205.1174054965,339.003,3.207,8.521,26.26,37.988
348864,baseline,5,50000,152979.19,1316517.0225651017,326.842,3.21,8.515,26.254,37.979
348864,optimized,1,50000,155704.37,1351789.7696550232,321.121,3.231,7.513,26.244,36.988
348864,optimized,2,50000,148747.77,1353106.7330591038,336.139,3.181,7.525,26.246,36.952
348864,optimized,3,50000,154497.84,1351680.1384120462,323.629,3.21,7.525,26.256,36.991
348864,optimized,4,50000,138885.95,1352045.6450609772,360.008,3.213,7.523,26.245,36.981
348864,optimized,5,50000,151274.18,1351533.9910798757,330.526,3.2,7.526,26.269,36.995
460896,baseline,1,50000,128476.34,474248.31641847675,389.177,8.863,15.678,80.889,105.42999999999999
460896,baseline,2,50000,125449.05,474437.31734163285,398.568,8.809,15.684,80.895,105.38799999999999
460896,baseline,3,50000,126622.29,474419.31076362537,394.875,8.829,15.673,80.89,105.392
460896,baseline,4,50000,130185.15,474243.8182318294,384.068,8.872,15.681,80.878,105.431
460896,baseline,5,50000,132886.87,474230.32418384956,376.26,8.804,15.694,80.936,105.43400000000001
460896,optimized,1,50000,125499.98,474297.802103985,398.406,8.858,15.673,80.888,105.41900000000001
460896,optimized,2,50000,129183.96,474234.82211451826,387.045,8.856,15.691,80.886,105.43299999999999
460896,optimized,3,50000,125508.44,474261.8114904152,398.38,8.834,15.691,80.902,105.42699999999999
460896,optimized,4,50000,127310.46,474243.81823182927,392.741,8.851,15.686,80.894,105.43100000000001
460896,optimized,5,50000,127008.41,474338.29807418655,393.675,8.83,15.684,80.896,105.41
6688128,baseline,1,50000,68209.9,270166.5847161359,733.031,19.189,35.147,130.735,185.07100000000003
6688128,baseline,2,50000,69521.76,270146.14906664507,719.199,19.189,35.16,130.736,185.08499999999998
6688128,baseline,3,50000,69695.94,270154.90682357264,717.402,19.128,35.156,130.795,185.07899999999998
6688128,baseline,4,50000,69020.06,270170.96418613696,724.427,19.169,35.159,130.74,185.068
6688128,baseline,5,50000,69204.81,270169.5043470273,722.493,19.184,35.146,130.739,185.06900000000002
6688128,optimized,1,50000,68748.02,281368.35056245537,727.294,18.903,28.064,130.736,177.70299999999997
6688128,optimized,2,50000,68503.59,280952.54149669036,729.889,19.168,28.065,130.733,177.966
6688128,optimized,3,50000,70246.44,281436.45164921763,711.78,18.828,28.084,130.748,177.66
6688128,optimized,4,50000,70143.62,281067.8329107947,712.823,18.798,28.067,131.028,177.89299999999997
6688128,optimized,5,50000,70555.48,281335.1038689203,708.662,18.928,28.067,130.729,177.72400000000002
6960119,baseline,1,50000,72824.39,282023.8028089571,686.583,19.575,30.776,126.939,177.29
6960119,baseline,2,50000,72582.45,281874.35168899107,688.872,19.652,30.785,126.947,177.38400000000001
6960119,baseline,3,50000,69289.46,281904.54712034506,721.61,19.629,30.78,126.956,177.365
6960119,baseline,4,50000,71410.89,281848.9289740699,700.173,19.686,30.776,126.938,177.4
6960119,baseline,5,50000,71928.4,281817.1570285199,695.136,19.694,30.78,126.946,177.42000000000002
6960119,optimized,1,50000,72941.46,299514.1879870849,685.481,18.549,21.435,126.953,166.937
6960119,optimized,2,50000,72298.88,301328.2549478099,691.574,17.572,21.425,126.935,165.93200000000002
6960119,optimized,3,50000,72936.2,300634.33845413825,685.531,17.961,21.417,126.937,166.315
6960119,optimized,4,50000,73890.95,301330.0709330987,676.673,17.593,21.414,126.924,165.931
6960119,optimized,5,50000,73858.02,302065.5240534777,676.975,17.178,21.415,126.934,165.527
8192128,baseline,1,50000,60341.18,232147.83173925156,828.622,19.2,36.078,160.102,215.38
8192128,baseline,2,50000,58684.92,232127.35435169152,852.008,19.203,36.072,160.124,215.399
8192128,baseline,3,50000,57843.55,232186.64090942862,864.401,19.186,36.054,160.104,215.34400000000002
8192128,baseline,4,50000,60001.75,231864.70230890875,833.309,19.188,36.059,160.396,215.64299999999997
8192128,baseline,5,50000,58424.68,232176.93740045413,855.803,19.197,36.057,160.099,215.353
8192128,optimized,1,50000,58567.37,240344.17285552912,853.718,19.053,28.882,160.1,208.035
8192128,optimized,2,50000,59488.49,240746.89316134373,840.499,18.682,28.897,160.108,207.687
8192128,optimized,3,50000,58952.14,240337.24121687553,848.146,19.06,28.882,160.099,208.041
8192128,optimized,4,50000,57715.45,240447.03913516013,866.319,18.932,28.897,160.117,207.94599999999997
8192128,optimized,5,50000,58392.52,240151.39143716198,856.274,19.188,28.895,160.119,208.202

param,variant,trial,mean_throughput_ct_s,mean_kernel_ct_s,mean_wall_ms,mean_syndrome_ms,mean_bm_ms,mean_chien_ms,mean_kernel_ms,delta_vs_baseline
348864,baseline,mean,148733.05,1316302.153835,336.4326,3.2122,8.518,26.255,37.9852,
348864,optimized,mean,149822.022,1352031.255453,334.2846,3.207,7.5224,26.252,36.9814,total 0.73%; kernel 2.71%
460896,baseline,mean,128723.94,474315.817388,388.5896,8.8354,15.682,80.8976,105.415,
460896,optimized,mean,126902.25,474275.310403,394.0494,8.8458,15.685,80.8932,105.424,total -1.42%; kernel -0.01%
6688128,baseline,mean,69130.494,270161.621828,723.3104,19.1718,35.1536,130.749,185.0744,
6688128,optimized,mean,69639.43,281232.056098,718.0896,18.925,28.0694,130.7948,177.7892,total 0.74%; kernel 4.10%
6960119,baseline,mean,71607.118,281893.757524,698.4748,19.6472,30.7794,126.9452,177.3718,
6960119,optimized,mean,73185.102,300974.475275,683.2468,17.7706,21.4212,126.9366,166.1284,total 2.20%; kernel 6.77%
8192128,baseline,mean,59059.216,232100.693342,846.8286,19.1948,36.064,160.165,215.4238,
8192128,optimized,mean,58623.194,240405.347561,852.9912,18.983,28.8906,160.1086,207.9822,total -0.74%; kernel 3.58%
