iteration_id,label,timestamp_utc,arch,param,correctness_status,ncu_status,katnum,throughput_ct_s,kernel_ct_s,wall_ms,kernel_ms,syndrome_ms,bm_ms,chien_ms,chien_kernel_pct,ncu_chien_duration_ms,ncu_chien_compute_throughput_pct,ncu_chien_memory_throughput_pct,ncu_chien_achieved_occupancy_pct,ncu_chien_registers_per_thread,git_head
20260518T101421Z_baseline-sm75-rtx3090ti-nonroot,baseline-sm75-rtx3090ti-nonroot,20260518T101421Z,sm_75,348864,FAIL,SKIP,50000,,,,,,,,,,,,,,21aa60cf003fc3aa7aa8668cae380a6b37e2716f
20260518T101421Z_baseline-sm75-rtx3090ti-nonroot,baseline-sm75-rtx3090ti-nonroot,20260518T101421Z,sm_75,460896,FAIL,SKIP,50000,,,,,,,,,,,,,,21aa60cf003fc3aa7aa8668cae380a6b37e2716f
20260518T101421Z_baseline-sm75-rtx3090ti-nonroot,baseline-sm75-rtx3090ti-nonroot,20260518T101421Z,sm_75,6688128,FAIL,SKIP,50000,,,,,,,,,,,,,,21aa60cf003fc3aa7aa8668cae380a6b37e2716f
20260518T101421Z_baseline-sm75-rtx3090ti-nonroot,baseline-sm75-rtx3090ti-nonroot,20260518T101421Z,sm_75,6960119,FAIL,SKIP,50000,73458.48,281871.1735988184,680.657,177.386,19.658,30.788,126.94,71.56145355326801,126875264.0,86.42,0.08,,,21aa60cf003fc3aa7aa8668cae380a6b37e2716f
20260518T101421Z_baseline-sm75-rtx3090ti-nonroot,baseline-sm75-rtx3090ti-nonroot,20260518T101421Z,sm_75,8192128,FAIL,SKIP,50000,,,,,,,,,,,,,,21aa60cf003fc3aa7aa8668cae380a6b37e2716f
20260518T123819Z_baseline-existing-gpu-sm75-rtx3090ti-nonroot,baseline-existing-gpu-sm75-rtx3090ti-nonroot,20260518T123819Z,sm_75,348864,PASS,SKIP,50000,,,,,,,,,,,,,,24587ce3dda86c52b82b6c1dcfee16833a7a33aa
20260518T123819Z_baseline-existing-gpu-sm75-rtx3090ti-nonroot,baseline-existing-gpu-sm75-rtx3090ti-nonroot,20260518T123819Z,sm_75,460896,PASS,SKIP,50000,,,,,,,,,,,,,,24587ce3dda86c52b82b6c1dcfee16833a7a33aa
20260518T123819Z_baseline-existing-gpu-sm75-rtx3090ti-nonroot,baseline-existing-gpu-sm75-rtx3090ti-nonroot,20260518T123819Z,sm_75,6688128,PASS,SKIP,50000,,,,,,,,,,,,,,24587ce3dda86c52b82b6c1dcfee16833a7a33aa
20260518T123819Z_baseline-existing-gpu-sm75-rtx3090ti-nonroot,baseline-existing-gpu-sm75-rtx3090ti-nonroot,20260518T123819Z,sm_75,6960119,PASS,SKIP,50000,74569.15,281761.5733566256,670.519,177.455,19.684,30.791,126.98,71.55616916964864,126875264.0,86.42,0.08,,,24587ce3dda86c52b82b6c1dcfee16833a7a33aa
20260518T123819Z_baseline-existing-gpu-sm75-rtx3090ti-nonroot,baseline-existing-gpu-sm75-rtx3090ti-nonroot,20260518T123819Z,sm_75,8192128,PASS,SKIP,50000,,,,,,,,,,,,,,24587ce3dda86c52b82b6c1dcfee16833a7a33aa
