param,trial,syndrome_ms,bm_ms,chien_ms,kernel_ms,kernel_ct_s,baseline_syndrome_ms,baseline_kernel_ct_s,delta_syndrome_ms,delta_syndrome_pct,delta_kernel_ct_s,ncu_shared_store_bank_conflicts,ncu_no_eligible,ncu_long_scoreboard_cycles,regressed
348864,1,3.299914,7.584736,26.250445,37.135095,1346435.2252229326,,,,,,,,,
348864,2,3.31537,7.584288,26.250509,37.150167,1345888.9700280484,,,,,,,,,
348864,3,3.295562,7.584737,26.25019,37.130489,1346602.2491651,,,,,,,,,
348864,4,3.309162,7.584256,26.250637,37.144055,1346110.4340923466,,,,,,,,,
348864,5,3.312586,7.585216,26.249582,37.147384,1345989.8010584002,,,,,,,,,
348864,mean,3.3065188,,,,1346205.3359133655,3.1406036,1352235.7325909564,0.16591520000000015,5.282908037168402,-6030.396677590907,28566,27.91,,True
460896,1,9.28207,13.617678,80.868262,103.76801,481844.0673575604,,,,,,,,,
460896,2,9.114259,13.617805,80.86778,103.59984399999999,482626.2093599292,,,,,,,,,
460896,3,9.114419,13.618317,80.868003,103.600739,482622.0399837109,,,,,,,,,
460896,4,9.162005,13.618029,80.868614,103.648648,482398.9599941526,,,,,,,,,
460896,5,9.268438,13.618158,80.869958,103.756554,481897.26887035975,,,,,,,,,
460896,mean,9.1882382,,,,482277.70911314257,8.4724672,485628.3081619482,0.7157710000000002,8.448200306989682,-3350.599048805656,58553,38.59,8.5,True
6688128,1,17.442751,29.311894,130.796485,177.55113,281609.0215815579,,,,,,,,,
6688128,2,17.314333,29.312374,130.796326,177.42303299999998,281812.3394384764,,,,,,,,,
6688128,3,18.228264,29.312596,130.801374,178.34223400000002,280359.83893753396,,,,,,,,,
6688128,4,16.884056,29.313143,130.795305,176.992504,282497.8395695221,,,,,,,,,
6688128,5,16.806199,29.31247,130.796648,176.91531700000002,282621.0915361274,,,,,,,,,
6688128,mean,17.3351206,,,,281780.02621264354,19.0135944,279136.82307219086,-1.678473799999999,-8.827756418323508,2643.203140452679,79840,45.41,17.0,False
6960119,1,16.760693,30.752104,126.877586,174.39038299999999,286713.0580245357,,,,,,,,,
6960119,2,17.38387,30.754345,126.880244,175.018459,285684.1517499591,,,,,,,,,
6960119,3,17.622402,30.751497,126.880502,175.254401,285299.5400668997,,,,,,,,,
6960119,4,16.833047,30.752008,126.877777,174.462832,286593.99498914473,,,,,,,,,
6960119,5,18.21972,30.752872,126.879252,175.851844,284330.2570088489,,,,,,,,,
6960119,mean,17.3639464,,,,285724.2003678776,19.5824,281977.763965,-2.2184536,-11.328813628564426,3746.436402877618,71807,41.76,13.1,False
8192128,1,16.956216,29.312758,160.195002,206.463976,242172.99777274462,,,,,,,,,
8192128,2,17.01257,29.311191,160.192961,206.51672200000002,242111.14487862148,,,,,,,,,
8192128,3,17.225116,29.312823,160.193533,206.731472,241859.64292848454,,,,,,,,,
8192128,4,16.859831,29.312696,160.19309,206.36561700000001,242288.42346348808,,,,,,,,,
8192128,5,19.06338,29.313271,160.197569,208.57421999999997,239722.8190521341,,,,,,,,,
8192128,mean,17.4234226,,,,241631.00561909456,19.036877,239757.332508,-1.613454400000002,-8.475415374065829,1873.6731110945693,79633,44.76,15.9,False
